"Nivel";"Campo";"ColunaCalc";"Intervalo";"ColunaEng";"Formula"
"1";"R13s";"11";"$K$3:$K$182";"3";"=IF(RC6="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),3),0))"
"1";"R22s";"12";"$L$3:$L$182";"4";"=IF(RC6="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),4),0))"
"1";"RR4s";"13";"$M$3:$M$182";"5";"=IF(RC6="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),5),0))"
"1";"R41s";"14";"$N$3:$N$182";"6";"=IF(RC6="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),6),0))"
"1";"R10x";"15";"$O$3:$O$182";"7";"=IF(RC6="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),7),0))"
"1";"Veredicto";"16";"$P$3:$P$182";"9";"=IF(RC6="""","""",IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),9),""""))"
"2";"R13s";"33";"$AG$3:$AG$182";"10";"=IF(RC28="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),10),0))"
"2";"R22s";"34";"$AH$3:$AH$182";"11";"=IF(RC28="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),11),0))"
"2";"RR4s";"35";"$AI$3:$AI$182";"12";"=IF(RC28="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),12),0))"
"2";"R41s";"36";"$AJ$3:$AJ$182";"13";"=IF(RC28="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),13),0))"
"2";"R10x";"37";"$AK$3:$AK$182";"14";"=IF(RC28="""",0,IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),14),0))"
"2";"Veredicto";"38";"$AL$3:$AL$182";"16";"=IF(RC28="""","""",IFERROR(INDEX(engDados,MATCH(selAnalito&""|""&RC2,engChave,0),16),""""))"
